id,subject,question_type,difficulty,question_text,answer,user_answer,explanation,created_at
87,数学,计算题,4,计算: 87 + 66 = ?,153,错误答案2,将87与66相加得到153,2025-04-09 20:59:35
88,物理,解答题,3,物理解答题额外示例问题3,答案3,错误答案3,解析说明3,2025-04-09 20:59:35
89,物理,填空题,3,物理填空题额外示例问题4,答案4,错误答案4,解析说明4,2025-04-09 20:59:35
90,化学,填空题,3,化学填空题额外示例问题5,答案5,错误答案5,详细解析5,2025-04-09 20:59:35
91,数学,选择题,5,数学选择题额外示例问题6,答案6,D,解析说明6,2025-04-09 20:59:35
92,物理,选择题,3,物理选择题额外示例问题7,答案7,D,解析说明7,2025-04-09 20:59:35
82,化学,填空题,2,化学填空题示例问题 (难度2),答案示例,错误答案示例,详细解析示例,2025-04-09 20:59:35
83,化学,计算题,3,化学计算题示例问题 (难度3),答案示例,错误答案示例,详细解析示例,2025-04-09 20:59:35
84,化学,填空题,4,化学填空题示例问题 (难度4),答案示例,错误答案示例,详细解析示例,2025-04-09 20:59:35
85,化学,填空题,5,化学填空题示例问题 (难度5),答案示例,错误答案示例,详细解析示例,2025-04-09 20:59:35
86,化学,填空题,4,化学填空题额外示例问题1,答案1,错误答案1,详细解析1,2025-04-09 20:59:35
75,数学,填空题,5,数学填空题示例问题 (难度5),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
76,物理,计算题,1,物理计算题示例问题 (难度1),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
77,物理,计算题,2,物理计算题示例问题 (难度2),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
78,物理,填空题,3,物理填空题示例问题 (难度3),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
79,物理,解答题,4,物理解答题示例问题 (难度4),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
80,物理,计算题,5,物理计算题示例问题 (难度5),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
81,化学,选择题,1,化学选择题示例问题 (难度1),答案示例,D,详细解析示例,2025-04-09 20:59:35
72,数学,解答题,2,证明：三角形内角和等于180度。,证明过程略,错误答案示例,可以通过内错角相等和同位角相等证明,2025-04-09 20:59:35
73,数学,计算题,3,计算: 83 + 16 = ?,99,错误答案示例,将83与16相加得到99,2025-04-09 20:59:35
74,数学,解答题,4,证明：三角形内角和等于180度。,证明过程略,错误答案示例,可以通过内错角相等和同位角相等证明,2025-04-09 20:59:35
